Content,Video title,Video publish time,Duration,Comments added,Shares,Likes,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
BN4FuVJPJTQ,Sunday Morning Worship Service - 2/25/24 - David Ntim,26-Feb-24,3825,5,41,24,1567,346.2319,7,16002,5.11
Ch83aYJydI0,Easter Sunday Worship Service - 4/5/15 - Luke Powery,5-Apr-15,5116,5,39,28,9840,1265.2692,9,40176,6.47
Dk2Sui-IHVY,Sunday Morning Worship Service - 4/25/21 - Rev. Bruce Puckett,25-Apr-21,5126,5,12,22,1857,417.2283,10,24134,4.2
EdsyEXCGWVo,Service of Thanksgiving and Remembrance Honoring Deceased Alumni,16-Apr-21,2140,5,4,8,310,16.8747,0,12571,1.18
FOgyRSQCOKQ,A Celebration of Martin Luther King Jr. 2013,23-Jan-13,8276,5,6,7,918,99.3633,0,1718,2.56
HaeWFpeUrzE,Sunday Morning Worship Service - 8/18/19 - Rev. Bruce Puckett,18-Aug-19,4424,5,5,9,854,191.1493,0,10405,2.92
IN9soDdrdEc,Sunday Morning Worship Service - 11/25/18 - Rev. Bruce Puckett,25-Nov-18,5328,5,8,8,1033,244.0852,-1,9244,4.45
InU8veOTV6Y,Dr Robert Parkins performs Gigout's Toccata,5-Mar-09,219,5,6,6,6353,56.5338,2,5726,3.65
KAIg5EeyZac,"Dr David Arcus performs selctions from Vierne's Pièces de Fantaisie, Op. 53",5-Mar-09,809,5,0,7,2133,27.2683,1,2823,3.12
KWBrIOG4Vns,Choral Evensong Worship Service - 10/10/21,10-Oct-21,3786,5,15,20,749,110.3359,0,15256,2.61
K_c6Zr_M1gA,Sunday Service - 12/19/10 - Sam Wells,20-Dec-10,4691,5,2,3,1581,87.2734,0,2017,2.93
KkGT7Ss4XRs,Duke Chapel Live - 12/9/2012,9-Dec-12,5474,5,0,2,415,94.6207,0,22,0
LQL2igaOcFQ,Catholic Mass - 11/20/11 - Solemnity of Our Lord Jesus Christ The King,21-Nov-11,4681,5,1,7,3544,134.3117,3,5348,3.78
MEr__nIzb_M,Choral Evensong Worship Service - 10/16/14,16-Oct-14,4494,5,15,18,4591,510.0305,11,10879,3.88
NXODu6ro4I4,Memorial Service for Dr. H. Keith H. Brodie,5-Dec-16,5104,5,42,11,2135,374.7331,4,4926,3.69
OgTnjFYQkoY,Sunday Morning Worship Service - 1/1/23 - Rt. Rev. Anne Hodges-Copple,1-Jan-23,4291,5,22,13,1161,323.4462,2,15712,4.03
Ppt_Xk_-wjQ,The Marvel of This Night: Christmas at Duke University Chapel,26-Dec-19,3567,5,330,133,6717,1304.374,36,39674,3.66
QrgJ1iBCw9g,Duke Chapel live - 2/5/2012,5-Feb-12,5150,5,0,0,273,0.5774,0,0,
TDPwPBzxULY,Choral Evensong Worship Service - 2/4/18,4-Feb-18,3200,5,4,7,1012,183.5408,1,10533,3.86
_42uwA-UEVk,The 23rd Psalm (Bobby McFerrin),11-Feb-21,207,5,120,44,4455,133.6645,7,15914,5.77
_OH-tyUA7RE,Sunday Morning Worship Service - 9/18/22 - Rev. Racquel Gill,18-Sep-22,5781,5,25,14,1215,351.0451,1,13080,5.26
acYTOFOQBhg,All Hallows' Eve - 10/31/2017,1-Nov-17,5107,5,21,15,1489,173.2093,1,7335,4.57
d2z__fkwNgQ,Choral Evensong Worship Service - 7/16/17,16-Jul-17,4868,5,54,33,3781,677.7854,1,13258,4.74
dUaD1dk_vUk,Sunday Morning Worship Service - 2/16/20 - Rev. Dr. Thomas Long,16-Feb-20,4569,5,70,38,5085,796.9205,28,34095,4.54
dqEB2OILV50,"Dr David Arcus performs selections from Howells' Three Psalm Preludes, Op. 32",5-Mar-09,662,5,0,8,3447,39.7595,0,3421,2.66
g9yeWw1zJvE,Sunday Morning Worship Service - 9/23/18 - Rev. Dr. Lillian Daniel,23-Sep-18,5538,5,56,17,2671,490.6711,3,15808,4.92
gLSBtTYL6iA,Catholic Mass - 1/8/12 - The Epiphany of the Lord,9-Jan-12,3872,5,5,12,8462,337.6767,8,6477,8.12
gvAHTzCJl2A,Sunday Morning Worship Service - 4/10/22 - Rev. Dr. Luke A. Powery,10-Apr-22,4776,5,30,18,1567,412.1418,5,18866,4.96
iMdY_ujfnO0,Sunday Morning Worship Service - 5/15/22,15-May-22,4587,5,14,15,1349,321.9741,3,18230,4.16
kg5GUtp3-Ts,Duke Chapel Live - 10/7/2012,7-Oct-12,6615,5,1,9,719,204.878,0,3,0
mgBA_5RiKEc,Sunday Service - 9/2/12 - Barbara Brown Taylor,3-Sep-12,4985,5,96,44,16801,2725.4412,21,47721,5.18
mjPCq0V8Fuw,Choral Evensong Worship Service - 9/11/16,11-Sep-16,3204,5,7,6,1020,113.2974,0,2494,2.89
obQZdK0b8vc,Sunday Morning Worship Service - 3/10/24 - Rev. Dr. Jennifer Copeland,11-Mar-24,4705,5,38,14,1361,348.3301,3,12953,5.54
qPSi4WQCllA,Jazz Vespers - 11/13/18,14-Nov-18,5263,5,9,5,609,76.431,0,7185,3.22
r0ZwA25ZFzw,Sunday Morning Worship Service - 9/4/22 - Dean Luke A. Powery,4-Sep-22,4216,5,20,22,1533,405.2281,1,23167,3.6
tZUR8UCDwRI,Sunday Morning Worship Service - 3/8/20 - Rev. Dr. Carol Gregg,8-Mar-20,5290,5,17,10,1310,314.0889,2,12226,3.73
tklkrkydiLQ,Catholic Mass - 6/24/12 - 12th Sunday in Ordinary Time (Nativity of Saint John the Baptist),25-Jun-12,4458,5,2,7,2606,153.0229,2,4703,7.48
ugL4Z5jv1Rg,Sunday Service - 9/15/13 - Fleming Rutledge,15-Sep-13,5286,5,78,24,5249,960.9167,14,23387,4.73
vc2vCswH7wY,2023 Christmas Eve Lessons and Carols,25-Dec-23,6508,5,57,44,2701,637.9454,15,33581,5.15
yrKWZcXxrYI,Choral Evensong Worship Service - 3/17/19,17-Mar-19,3274,5,49,29,3562,371.083,5,28062,6.04
 -b4AG54IBJc,Christmas Eve Worship Service 4 PM - 12/24/16,24-Dec-16,6146,4,6,5,1090,129.715,3,3337,2.52
1618xE3etHk,University Worship Service - 7/16/17 - Rev. Bruce Puckett,16-Jul-17,6149,4,9,9,1029,253.531,0,3116,1.99
1rOq3ZJs8UQ,"Duke Divinity School Baccalaureate Service 2012, 6:30PM, May 12, 2012",13-May-12,9051,4,64,23,7252,626.1228,3,5872,7.25
1yDEHwGGuEE,Sunday Morning Worship Service - 11/12/23 - Dean Luke Powery,13-Nov-23,5886,4,21,25,1334,391.6778,4,13871,5.44
388qR35A7g4,Celebration of Music,10-May-17,168,4,22,10,2018,40.4374,4,15048,5.39
3eg6xdaJqfk,Sunday Morning Worship Service - 3/28/21 - Rev. Bruce Puckett,28-Mar-21,4450,4,12,16,1601,464.1575,3,13990,6.43
423KwLakxxU,2017 Baccalaureate Service: Surnames R-Z,13-May-17,5124,4,3,1,370,63.6981,0,2797,1
49b3jXJagTY,Choral Evensong Worship Service - 10/30/16,30-Oct-16,3460,4,2,7,583,110.291,0,1793,1.56
4T2pp2mI-J8,School of Nursing Hooding and Recognition Ceremony,11-Dec-21,6356,4,127,37,2443,663.8,7,35018,1.3
6i1aYaZi5Wc,Choral Evensong Worship Service (RSCM Carolina Course) - 7/15/18,15-Jul-18,5008,4,53,28,3072,640.6147,7,21829,5.35
7Ig6xK12zJw,Choral Vespers Worship Service - 9/6/18,6-Sep-18,2502,4,5,4,478,52.5113,2,15487,0.83
8YniwQX3eYg,Sunday Service - 7/18/10 - Vernon Tyson,21-Jul-10,4739,4,13,7,2316,152.0715,2,2165,4.99
8xqA-QETVQE,Christmas Eve Service of Lessons and Carols - 2013,15-Jan-14,6391,4,16,17,5918,752.9515,4,23561,4.35
9eGAN5L_BNY,J. Samuel Hammond Plays the Duke Chapel Carillon,21-Dec-18,163,4,121,48,7037,202.4547,9,28238,5.81
9l2NDkgj6NI,University Worship Service - 9/11/16 - Luke Powery,12-Sep-16,5149,4,8,6,1148,237.2655,0,3207,3.62
9vNGEeYgWV8,University Worship Service - 8/14/16 - Esther Acolatse,14-Aug-16,5131,4,30,8,1543,266.2741,7,3289,7.18
AO4HitsnaG4,Sunday Morning Worship Service - 1/19/20 - Rev. Dr. Soong-Chan Rah,19-Jan-20,4683,4,18,10,1296,293.2224,5,13823,3.69
AmY_opEnhVU,Choral Evensong Worship Service - 11/13/14,13-Nov-14,4167,4,2,2,683,106.1685,1,1574,2.41
AuX4krcI52Q,On Wings of Song (Gwyneth Walker),6-Aug-24,298,4,80,36,3839,180.8372,7,24970,5.3
BkEtuLo8-jA,The Lord Shall Come and Not Be Slow (Zebulon M. Highben),26-Dec-20,238,4,135,61,4523,179.4473,15,16848,8.05
DR6D7lm39fU,Listen to the Carillon Livestream Weekdays at 5:00 P.M.,11-Apr-20,34,4,21,82,3061,23.1392,18,47668,2
DVsFRr0Sl4o,Sunday Morning Worship Service - 11/14/21 - Rev. Bruce Puckett,14-Nov-21,4897,4,20,16,1342,417.2418,2,16266,4.3
Dy_VtZdd9-A,Catholic Mass - 3/24/13 - Palm Sunday of the Passion of the Lord,25-Mar-13,4074,4,15,17,9261,699.6449,11,32062,4.75
EbCn_yxXOpk,Sunday Morning Worship Service - 5/22/22,22-May-22,4122,4,7,14,1230,313.5319,3,17329,4.14
F7Tr2chxQUI,Faith and Learning Profile: Singing as a Language for God,17-Aug-22,231,4,16,17,940,30.0806,1,16304,2.56
G85oiNEixxw,A Service of Lament and Healing,14-Mar-21,2150,4,10,10,550,64.6346,2,11589,1.98
GhGM1vYDnIU,2022 Duke Holiday Event for Faculty/Staff,7-Dec-22,1552,4,36,15,579,51.1375,2,7390,2.99
HRwgaZEfm2o,Choral Evensong Worship Service - 11/1/15,1-Nov-15,3536,4,1,3,344,58.2426,0,1069,1.96
I1pgktW97AM,"Service of Tenebrae, Good Friday 2013",30-Mar-13,5523,4,35,27,7797,749.3555,7,25198,3.77
INbZh_wqkO8,RSCMA-Carolina Course Closing Evensong - 7/17/22,17-Jul-22,5427,4,127,43,3907,713.8328,18,59686,2.58
Ije_qMApbt4,Catholic Mass - 2/2/14 - 4th Sunday in Ordinary Time,2-Feb-14,4237,4,0,1,1534,147.2724,1,2615,7.3
IlBk0yA7veg,University Worship Service - 7/9/17 - Rev. Dr. Lisa Thompson,9-Jul-17,5158,4,8,5,1537,264.8246,2,6542,4.34
JB4X9FjVWI8,Jazz Vespers - 4/15/21,16-Apr-21,3878,4,74,31,1624,195.4172,15,13871,3.13
JEXfqYFsX-4,Sunday Morning Worship Service - 12/11/22 - Rev. Dr. Luke A. Powery,11-Dec-22,6096,4,12,20,1147,396.3776,3,11915,5.15
JM6uH7et8_Y,Choral Evensong Worship Service - 5/7/17,7-May-17,4166,4,5,8,1400,254.4861,0,4074,4.27
LHkHHWyMBcs,Sounds of Faith: Im Abendrot by Richard Strauss arr. Robert Parkins,22-Jul-20,654,4,11,18,1562,66.4197,8,15076,2.59
MFUQh8yxYc0,Christmas Eve Lessons and Carols,25-Dec-21,5928,4,80,56,5008,1005.2288,15,130868,1.93
NVSKfo-2k5U,Sunday Service - 9/26/10 - Lillian Daniel,28-Sep-10,6115,4,17,22,16493,1512.6751,7,19787,7.08
NhBcZ3qa_V8,Sunday Morning Worship Service - 9/22/19 - Rev. Dr. Carol Gregg,22-Sep-19,4799,4,40,8,1168,235.9104,0,10404,3.6
P9pJU5xejjI,Easter Sunday Service - 4/24/11 - Sam Wells,25-Apr-11,4894,4,16,24,8710,635.3733,6,15608,5.13
PI_Izsv2kLE,2018 Baccalaureate Service (Surnames A–H),11-May-18,5207,4,21,6,792,117.0043,1,10102,2.28
PP0u0vk1vPI,Choral Vespers Worship Service - 10/18/18,18-Oct-18,2438,4,1,6,299,51.4906,-3,8160,1.32
PYcnqMY-X4g,Dr Robert Parkins performs Brahms' Prelude and Fugue in A Min,5-Mar-09,433,4,3,9,6550,57.3794,3,5144,3.65
QC1g98oG-Ws,Duke Catholic Center Easter Vigil,20-Apr-14,8815,4,5,2,1797,153.3464,0,8984,4.74
QFptyoIGsnE,Choral Evensong Worship Service  - 8/27/23,28-Aug-23,3942,4,3,9,545,62.8199,3,9991,3.39
QkPFSmREVQw,May You Abound in Hope (Anne Krentz Organ),3-May-21,144,4,53,28,1615,39.1639,-1,16352,3.17
QqpnBw-DwCo,Choral Vespers Worship Service - 10/28/21,28-Oct-21,2672,4,3,3,243,29.7882,0,6204,2.29
RJBAaXpmgxY,Catholic Mass - 5/20/12 - The Ascension of the Lord,21-May-12,4241,4,7,12,3331,168.6281,3,8461,6.19
ROF0_jDdPk4,Sunday Service - 11/24/13 - Richard Lischer,27-Nov-13,5483,4,2,5,1748,252.6914,1,3709,8.82
Rek-Htf2EGI,Sunday Morning Worship Service - 2/23/20 - Student Preacher,23-Feb-20,4769,4,35,16,1609,345.8814,2,14656,3.94
UzjsXtf8QjE,Sunday Service - 4/18/10 - Will Willimon,19-Apr-10,5375,4,12,13,7959,601.7092,13,11619,4.88
V3TYd8Z6PS0,Sunday Morning Worship Service - 5/23/21 - Rev. Dr. Luke A. Powery,23-May-21,5178,4,21,21,1759,548.257,7,18341,5.17
VGKXpBNhDN4,Sunday Morning Worship Service - 4/14/19 - Dean Luke A. Powery,14-Apr-19,5358,4,19,8,1708,382.8864,2,13975,4.96
VbRVvTusy90,Ash Wednesday Worship Service - 2/26/20,26-Feb-20,3680,4,28,14,1384,163.8223,5,16314,3.79
VqbZ33F9nO0,Catholic Mass - 10/28/12 - 30th Sunday in Ordinary Time,29-Oct-12,3914,4,10,11,9535,716.5063,4,23070,9.15
XPqzkPhwcbk,Jazz Vespers - 11/4/21,5-Nov-21,4190,4,107,23,889,133.9275,4,11505,2.78
XqIiv7H74Fc,Sunday Morning Worship Service - 8/13/23 - Rev. Dr. Carol Gregg,14-Aug-23,4226,4,10,10,933,267.4232,1,12127,4.52
Z6rHdw-Q3F0,"Catholic Mass - 11/25/12 - Our Lord Jesus Christ, King of the Universe",26-Nov-12,4032,4,13,13,4103,331.4136,4,15148,4.4
ZjtOfuRZtAw,Choral Evensong Worship Service - 11/4/18,4-Nov-18,5069,4,26,9,996,224.1423,1,10193,3.93
_-T_sFgt5-s,Catholic Mass - 2/17/13 - 1st Sunday of Lent,18-Feb-13,3944,4,4,17,5204,403.1826,10,9000,6.47
_XzqdrX8Ics,Choral Evensong Worship Service - 2/15/15,15-Feb-15,3587,4,0,1,689,93.3097,0,1197,1.67
aEdXuBaZPMk,The Wedding of Min Jin Lee and Robert Won,,5446,4,14,16,452,70.84,2,7,14.29
aVMgzALSG34,Sunday Service - 1/31/10 - Lauren Winner,7-Feb-10,4363,4,11,5,4311,183.1241,3,3405,5.02
aczcg3tCNLc,All-Hallows Eve  - 10/31/11 - Meghan Feldmeyer,1-Nov-11,4724,4,4,4,2447,333.159,0,1955,4.71
b2szVJNQTz8,Catholic Mass - 11/4/12 - 31st Sunday in Ordinary Time,5-Nov-12,3780,4,5,5,2389,161.4294,2,5242,9.4
b9uUD8jZeAA,Jazz Vespers - 11/10/22,11-Nov-22,3919,4,32,18,1197,127.114,8,15233,2.67
cA0Zvy2FByI,Bridge Panel: What to Say When Someone Is Dying,24-Mar-15,4283,4,30,21,3454,679.7799,7,44315,3.26
cTghf59JxS4,Interview with William Willimon on Post-9/11 Sermon,2-Dec-20,623,4,11,8,812,56.2213,3,16129,2.19
cU9aHW84qPI,University Worship Service - 8/28/16 - Luke Powery,28-Aug-16,6059,4,7,7,1434,299.49,3,2997,4
cciOvvdb4Ss,The Duke Chapel Choir,21-Aug-15,191,4,21,17,4368,94.8314,4,12266,4.48
cul9-6s8klo,Sunday Morning Worship Service - 1/24/21 - Rev. Dr. Luke A. Powery,24-Jan-21,4576,4,7,16,1764,526.295,2,15530,4.57
eS1zV29Pn7c,The Wedding of David and Bonnie,,3211,4,7,8,212,23.9358,1,3,33.33
ej6lUeaO7nQ,Choral Evensong Worship Service - 10/02/16,2-Oct-16,3302,4,4,3,575,84.7796,0,1641,2.38
fHJR2ZmD-Co,Organ Recital Series: Robert Parkins' Farewell Recital,7-Apr-25,5584,4,83,67,2132,533.3887,22,18182,5.93
fcsBEsbdo8M,Sunday Morning Worship Service - 12/8/19 - Dean Luke A. Powery,8-Dec-19,5235,4,32,17,1339,295.561,8,9653,4.48
gVAS7K9p3eI,Maundy Thursday Service - 4/1/21 - Rev. Breana van Velzen,2-Apr-21,4256,4,6,10,1131,205.9963,2,14683,4.42
gqX70Q0e3qU,Our First Lady of Jazz: Celebrating Mary Lou Williams,15-Apr-24,5389,4,174,38,2101,318.1201,6,10645,4.71
hCUBF7v_13A,Sunday Service - 5/19/13 - Anathea Portier-Young,19-May-13,5289,4,7,4,1460,186.331,0,2421,3.35
hFb_rdE9RBs,Choral Evensong: All Saints' Requiem Eucharist - 11/3/19,3-Nov-19,5126,4,8,19,1246,257.9931,-1,14179,3.92
i1ryqkCFUq4,Choral Evensong Worship Service - 3/8/20,8-Mar-20,3916,4,15,18,1917,316.4077,4,18604,3.58
igThZWZf3jA,Catholic Mass - 5/13/12 - 6th Sunday of Easter,14-May-12,3916,4,6,5,2194,123.4376,2,6197,6.42
kAwImldaOx4,School of Nursing Winter 2022 Hooding & Recognition Ceremony,10-Dec-22,9326,4,116,41,2634,836.1373,10,24844,2.18
kRYpNgo96tQ,Choral Evensong Worship Service - 9/25/16,25-Sep-16,3837,4,3,5,690,108.7511,1,1871,1.66
lGnaPsXc97g,Sunday Service - 1/19/14 - Vashti McKenzie,22-Jan-14,5684,4,27,29,7253,1035.5972,18,12964,4.55
mdR4Ux-fLPk,Sunday Morning Worship Service - 6/20/21 - Rev. Kathryn Lester-Bacon,20-Jun-21,5035,4,10,16,1145,311.027,0,13348,4.73
mtZsKN7W4u4,Sunday Morning Worship Service - 4/7/24,8-Apr-24,5581,4,21,17,1220,374.1536,8,13866,5.15
oX89v-Wlpe8,Worship Service - 2/8/15 - Adam Hollowell,8-Feb-15,4098,4,3,3,1032,172.2598,1,1909,1.52
of-DXGfVFU8,Jazz Vespers Worship Service - 11/19/19,20-Nov-19,4253,4,53,12,781,107.3007,0,9729,2.81
p2R27fhrqBE,From Darkness to Light,3-Dec-12,4230,4,0,1,118,12.7135,0,0,
pPrqCzCSHFg,Choral Evensong Worship Service - 1/13/19,14-Jan-19,3574,4,4,4,872,157.8999,0,11446,3.34
p_WwVzPGTrQ,Sunday Morning Worship Service - 9/24/23 - Rev. Kathryn Lester-Bacon,25-Sep-23,3913,4,14,10,1072,299.847,2,9449,6.73
pjy9ZU1a2R4,Choral Evensong Worship Service - 7/9/17,9-Jul-17,3604,4,7,8,780,150.0095,0,2523,1.86
qBAEjtvrMeQ,Baccalaureate Service 2021,30-Apr-21,3599,4,29,13,1347,168.8297,3,19413,2.53
rGjKcyrFs1g,University Worship Service - 2/21/16 - Barbara Brown Taylor,21-Feb-16,4549,4,109,48,11235,1846.6052,32,57095,5.04
rSDlwQZYuSc,Choral Evensong Worship Service - 2/9/20,9-Feb-20,4439,4,36,10,1761,376.0584,6,18690,3.79
sI5Ivj8RrtU,Sunday Service - 1/17/10 - Teresa L. Fry Brown,18-Jan-10,5391,4,26,36,7752,674.0496,9,14934,5.46
t5ydFFMEx6k,Sunday Service - 10/24/10 - Sam Wells,25-Oct-10,4740,4,47,11,6022,499.3508,3,8965,6.15
tEhoA05tAdA,Sunday Morning Worship Service - 4/6/25 - Rev. Dr. Richard Lischer,7-Apr-25,5546,4,32,19,1153,382.9034,4,9845,6.34
vOvpwjROneA,Sunday Morning Worship Service - 04/02/23 - Rev. Dr. Sam Wells,2-Apr-23,5176,4,93,42,3912,885.6216,14,29391,5.7
vn-mDi9TnZQ,2022 Hippocratic Oath Ceremony,7-May-22,8966,4,50,26,1757,455.0366,2,14347,3.54
wtmyQqKIzFU,Choral Evensong Worship Service - 9/24/17,24-Sep-17,4598,4,2,8,854,232.7823,1,3800,3.05
wtoRjgy80Fk,Choral Evensong Worship Service - 10/27/19,27-Oct-19,3589,4,1,8,567,124.23,1,8660,2.7
z21H3UkK8Lc,Sunday Morning Worship Service - 2/17/19 - Student Preacher Sunday,17-Feb-19,4948,4,16,9,1137,224.5654,2,9539,4.29
-1oybu1M5dU,Sunday Morning Worship Service - 3/17/24 - Rev. Bruce Puckett,18-Mar-24,4968,3,13,10,1061,360.0739,2,11013,4.7
 -iLxU5Ytkus,Easter Sunday Worship - 3/31/13 - 9AM - Luke Powery,31-Mar-13,5957,3,12,7,7103,711.7721,0,9542,5.36
 -uYZQACeHBY,Sunday Morning Worship Service - 4/21/19 - Dean Luke A. Powery,21-Apr-19,4977,3,47,25,5067,936.1519,5,43641,5.01
 -yPO3gkMAWM,A conversation with GLORIA STEINEM - 4/15/14,16-Apr-14,7647,3,20,6,2336,830.1972,6,2855,2.24
 -zCfar3GJ5Y,Holy Week Noon Service - 4/12/22,12-Apr-22,3006,3,5,6,262,27.536,0,6997,2.2
0TsmBsA2TI0,Sunday Morning Worship Service - 2/21/21 - Rev. Bruce Puckett,21-Feb-21,3600,3,25,7,1393,419.7614,3,13733,4.35
0cymZeROqKk,Sunday Service - 6/5/11 - Samuel Wells,6-Jun-11,4599,3,4,9,1810,133.9207,0,3178,2.45
0twJf9cxOaE,Catholic Mass - 12/2/12 - 1st Sunday of Advent,3-Dec-12,4071,3,12,15,6606,521.5482,8,17184,5.87
0zOcjWS1_f4,Sunday Morning Worship Service - 1/12/20 - Rev. Bruce Puckett,12-Jan-20,5136,3,14,8,1120,291.9045,-2,11310,4.17
18DHPIX_C3c,Choral Evensong Worship Service - 12/1/19,1-Dec-19,3126,3,6,14,807,153.3196,1,10841,3.19
1nh01MQbtQE,Choral Evensong Worship Service - 10/29/17,29-Oct-17,2882,3,4,4,628,130.6018,0,3179,2.39
1rF8dRmxTKY,Organ Recital: J. S. Bach and His Legacy,24-Mar-21,4947,3,56,32,3679,416.2685,16,27994,4.7
1sm-9Z0GiCQ,2016 Baccalaureate Service: Surnames R-Z,14-May-16,6385,3,4,3,774,80.8004,1,1599,3.06
2Iczk2HIMts,2022 Duke Divinity School Opening Convocation,6-Sep-22,4756,3,13,20,1012,111.3904,7,19561,2.88
2pP-ZsO41g8,Duke Chorale Christmas Concert 2022,30-Nov-22,6976,3,53,36,2022,370.9781,15,19423,4.84
2pvANqdMk70,Works by Johann Sebastian Bach (1685-1750),10-Feb-16,3086,3,22,12,1524,126.4921,1,7153,3.98
37WK3g2bY-E,"In Loving Memory:  Dr. LeRoy Walker, Sr.",1-May-12,8312,3,1,6,626,28.2273,0,2272,1.63
3QClGHr2ihc,Catholic Mass - 1/29/12 - 4th Sunday in Ordinary Time,30-Jan-12,4460,3,5,6,5682,289.8111,5,5083,7.22
3eEs5A64r-s,Duke Chapel Ministry Team,5-Sep-23,87,3,2,2,300,4.6895,1,10127,1.58
3n-B3KvPgRc,Holy Week Midday Service - 3/30/21 - Angela Cho,30-Mar-21,2841,3,7,12,502,66.841,0,8037,2.38
3vVoFEx6CII,Sunday Morning Worship Service - 1/30/22 - Rev. Dr. Luke A. Powery,30-Jan-22,4395,3,21,21,1553,445.7255,2,15065,5.16
42BgTpDlNSk,Choral Evensong Worship Service - 9/4/16,4-Sep-16,2980,3,6,4,903,119.5744,2,1739,4.2
467C8KQFQcw,School of Nursing Graduation Ceremoney - 12/9/17,9-Dec-17,6727,3,52,17,903,136.7988,2,3495,1.49
4NWL1ep2p1o,Funeral Service for Noah Spivey - 4/5/14 at 10:30AM,5-Apr-14,8866,3,4,9,3800,486.1927,6,7492,6.82
4XEHMsZ5cBA,Sunday Morning Worship Service - 9/29/19 - Dean Luke A. Powery,,751,3,0,0,6,0.0553,0,1209,0.08
4aNDCw3sZ7w,A Conversation with Bishop Eugene Robinson,24-Oct-08,3675,3,1,3,1379,64.8852,0,4229,1.82
4xcZK4W1ETM,Worship Service - 5/3/15 - Luke Powery,3-May-15,5953,3,7,6,2207,417.4365,0,3027,6.28
55eCnhodd6I,Choral Evensong Worship Service - 1/28/18,28-Jan-18,2722,3,3,6,888,133.2649,2,10419,3.24
5fWjrbQRNr4,Christmas Eve Worship Service 11 PM - 12/24/16,25-Dec-16,6674,3,33,16,3923,629.6424,6,8372,3.52
60iqk3GseTk,Sunday Service - 4/17/11 - Sam Wells,18-Apr-11,4820,3,6,7,3875,226.8491,4,6061,5.66
6HO7bUnxdEg,Sunday Morning Worship Service - 3/14/21 - Rev. Dr. David Emmanuel Goatley,14-Mar-21,4975,3,23,20,3161,483.3439,11,37870,4.26
6Z2xzKFQvCk,Christmas Eve Lessons and Carols - 12/24/24,25-Dec-24,6486,3,67,38,2521,703.2594,8,28467,5.54
6dmd4xGKEcQ,Divinity School Opening Convocation,30-Aug-16,3813,3,12,5,744,113.9802,0,1232,1.38
6ifp9nd2gVI,Catholic Mass - 2/10/13 - 5th Sunday in Ordinary Time,11-Feb-13,4470,3,8,18,4024,282.0776,1,7900,8.99
77jSyEQX4fw,"Ph.D. Hooding Ceremony: Biological and Biomedical Sciences, Physical Sciences, and Engineering",25-Sep-21,5116,3,39,15,1086,131.8898,1,18212,2.37
7U49nPV1csc,Sunday Morning Worship Service - 6/27/21 - Dean Luke A. Powery,27-Jun-21,4546,3,7,15,1000,328.1879,2,14640,4.13
8Lm5hhEzrAI,Sunday Morning Worship Service - 12/27/20 - Rev.Bruce Puckett,27-Dec-20,3320,3,9,17,1134,260.5103,1,10053,3.98
8mRAY-s_MCg,"Schaffe in mir, Gott (Johannes Brahms)",23-Feb-21,124,3,51,30,1713,52.403,-1,10539,4.24
9eV8g1l4Mew,Sunday Service - 7/12/09 - Warren Smith,17-Jul-09,5255,3,3,7,1477,75.1752,3,1918,3.28
AJJfWG0wsEY,Service of Tenebrae - 4/14/17 - Luke Powery,15-Apr-17,4823,3,5,7,1124,165.7795,1,3634,6.91
AQl1QuqHkCM,Preaching and the Public Square,28-Feb-19,4505,3,34,11,1299,315.3181,3,26414,1.15
AkbVus2D8IM,Sunday Morning Worship Service - 4/28/24,28-Apr-24,4725,3,5,9,582,122.4255,0,7071,4.86
AzTkpvWkGJg,Choral Evensong Worship Service - 10/13/19,15-Oct-19,3425,3,2,16,967,133.3706,4,11972,3.6
BL_OGyQz1no,Sunday Sermon - Exposed to the Light - Jeremy Begbie,27-Mar-09,1132,3,9,11,2105,117.9548,4,3589,3.2
BhG6GdSQZQs,Sunday Morning Worship Service - 26/02/23 - Rev. Dr. Luke A. Powery,26-Feb-23,5107,3,18,16,1247,404.2532,4,13358,4.96
BkgVWWePUSM,Messiah at Duke Chapel: A Reflection,4-Dec-20,805,3,65,23,2502,129.9251,10,13918,4.8
CIElBPF2Zoo,All Saints' Day Requiem Eucharist - 11/1/22,2-Nov-22,5646,3,21,18,919,125.1197,4,13594,4.15
Cl_JLzre9e0,Sunday Morning Worship Service - 8/14/22 - Rev. Bruce Puckett,14-Aug-22,4442,3,23,14,1050,299.3786,0,14248,4.26
CmgtaYZFvvo,Holy Week Noon Service - 4/5/23 - Will Cole,5-Apr-23,3211,3,10,10,407,53.2198,5,6840,2.3
CtHOgLtqtEM,Duke Chapel Live - 12/11/2011,11-Dec-11,5911,3,2,3,1069,49.8947,1,5,0
DJH8HFGHwZY,Choral Evensong Worship Service - 11/24/24,25-Nov-24,3651,3,11,5,382,68.7681,0,6601,3.71
D_8nVfef8AI,Sunday Morning Worship Service - 02/05/23 - Rev. Dr. Barbara Brown Taylor,5-Feb-23,5369,3,121,47,4377,1113.7579,28,37004,5.74
EUmr5qdqXGg,"The Baccalaureate Service (B), Duke University May 11, 2013",11-May-13,4537,3,3,8,1264,106.8583,3,3192,2.44
