Content,Video title,Video publish time,Duration,Comments added,Shares,Likes,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
SEyq-nby8eY,Sunday Morning Worship Service - 5/17/20,17-May-20,4126,29,13,21,2180,487.0319,13,27902,3.41
_Myz5-bxQpw,Catholic Mass - 3/30/13 - Easter Vigil,31-Mar-13,9452,29,44,44,25222,2322.8889,20,58969,5.55
dJBlddp0MN8,Sunday Morning Worship Service - 12/13/20 - Dean Luke A. Powery,13-Dec-20,5221,29,17,17,1980,613.8296,0,23497,3.52
2d32pvWXmf4,Sunday Morning Worship Service - 7/12/20 - Dean Luke A. Powery,12-Jul-20,4689,28,21,19,1918,537.2322,5,19173,4.22
ShFHNXr2pjg,Sunday Sermon - Radical Discipleship - Shane Claiborne,12-Feb-09,923,28,178,167,25386,1563.4283,27,56531,4.48
tlRgOnCLUOg,School of Nursing Graduation - 12/14/19,14-Dec-19,5979,28,22,12,1263,225.3799,0,12352,2.58
 -Ac108zZhw0,Sunday Morning Worship Service - 5/24/20 - Rev. Bruce Puckett,24-May-20,4068,27,5,23,1624,412.5063,5,17713,3.87
KzbGvsOgeu8,Sunday Morning Worship Service - 7/26/20 - Rev. Kathryn Lester-Bacon,26-Jul-20,4600,27,12,17,1624,397.7035,11,16850,3.54
5f8L-4bb4KI,Sunday Morning Worship Service - 11/22/20 - Rev. Kathryn Lester-Bacon,22-Nov-20,4619,25,10,19,2051,514.9714,4,20968,4.2
R1PzP5MoArw,Sunday Morning Worship Service - 9/27/20,27-Sep-20,5034,25,7,18,1766,463.8131,2,16202,4.49
SwKv1BzDPX8,Sunday Morning Worship Service - 11/29/20 - Rev. Dr. Carol Gregg,29-Nov-20,4865,25,7,23,2915,619.2497,10,36823,3.33
pqgoSMEV_Ls,Duke University Medical School - 2010 Hippocratic Oath,18-May-10,5711,25,25,31,12292,369.9929,5,35565,3.93
_2TQiNnuw4U,Sunday Sermon - How to Die - Sam Wells,11-Aug-08,1356,24,152,85,18182,1020.2021,21,40102,4.77
ipfqvax0T5Y,Sunday Morning Worship Service - 7/19/20 - Dean Luke A. Powery,19-Jul-20,3910,24,14,13,912,327.7163,5,5090,6.21
-7N-rPZBdtM,Buxtehude's Membra Jesu Nostri - Duke Vespers Ensemble,21-Apr-13,5255,23,104,83,15374,2206.7841,36,57533,4.77
ODI9nif37aU,Catholic Mass - 2/16/14 - 6th Sunday of Ordinary Time,17-Feb-14,3992,23,20,8,8702,1072.0663,7,7543,8.5
aMs4lvQFC58,Sunday Morning Worship Service - 5/3/20,3-May-20,4564,22,17,23,2152,653.6359,15,18098,4.82
gITfEgZiEeg,Maundy Thursday Worship Service - 4/9/20,9-Apr-20,3381,22,40,40,4689,708.682,13,46384,3.76
HXC6gB5C5os,Sunday Morning Worship Service - 6/21/20 - Rev. Dr. Carol Gregg,21-Jun-20,3488,21,3,17,1347,313.636,4,15414,3.91
KZeG35dA82E,2019 School of Nursing Hooding and Recognition Ceremony,12-May-19,9020,21,40,15,1384,261.0008,2,14967,2.72
aAuq_2vDIlQ,Sunday Service - 10/31/10 - Peter Gomes,1-Nov-10,5665,21,64,67,20638,1956.7902,17,44602,5.65
